age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,3,77516,13,13,4,10,4,4,1,2174,0,40,21,1
50,5,83311,13,13,6,4,1,4,1,0,0,13,21,1
38,2,215646,1,9,0,13,4,4,1,0,0,40,21,1
53,2,234721,7,7,6,13,1,3,1,0,0,40,21,1
28,2,338409,13,13,6,0,2,3,0,0,0,40,7,1
37,2,284582,9,14,6,4,2,4,0,0,0,40,21,1
49,2,160187,15,5,3,7,4,3,0,0,0,16,32,1
52,5,209642,1,9,6,4,1,4,1,0,0,45,21,0
31,2,45781,9,14,4,0,4,4,0,14084,0,50,21,0
42,2,159449,13,13,6,4,1,4,1,5178,0,40,21,0
37,2,280464,14,10,6,4,1,3,1,0,0,80,21,0
30,3,141297,13,13,6,0,1,1,1,0,0,40,10,0
23,2,122272,13,13,4,10,0,4,0,0,0,30,21,1
32,2,205019,3,12,4,1,4,3,1,0,0,50,21,1
34,2,245487,0,4,6,11,1,2,1,0,0,45,40,1
25,5,176756,1,9,4,12,0,4,1,0,0,35,21,1
32,2,186824,1,9,4,5,3,4,1,0,0,40,21,1
38,2,28887,7,7,6,1,1,4,1,0,0,50,21,1
43,5,292175,9,14,0,4,3,4,0,0,0,45,21,0
40,2,193524,5,16,6,0,1,4,1,0,0,60,21,0
54,2,302146,1,9,5,7,3,3,0,0,0,20,21,1
35,4,76845,15,5,6,12,1,3,1,0,0,40,21,1
43,2,117037,7,7,6,11,1,4,1,0,2042,40,21,1
59,2,109015,1,9,0,9,3,4,0,0,0,40,21,1
56,0,216851,13,13,6,9,1,4,1,0,0,40,21,0
19,2,168294,1,9,4,8,0,4,1,0,0,40,21,1
39,2,367260,1,9,0,4,4,4,1,0,0,80,21,1
49,2,193366,1,9,6,8,1,4,1,0,0,40,21,1
23,0,190709,3,12,4,2,4,4,1,0,0,52,21,1
20,2,266015,14,10,4,1,0,3,1,0,0,44,21,1
45,2,386940,13,13,0,4,0,4,1,0,1408,40,21,1
30,4,59951,14,10,6,10,0,4,1,0,0,40,21,1
22,3,311512,14,10,6,7,1,3,1,0,0,15,21,1
48,2,242406,7,7,4,5,3,4,1,0,0,40,19,1
21,2,197200,14,10,4,5,0,4,1,0,0,40,21,1
19,2,544091,1,9,2,10,2,4,0,0,0,25,21,1
48,5,265477,3,12,6,0,1,4,1,0,0,40,21,1
31,2,507875,15,5,6,5,1,4,1,0,0,43,21,1
53,5,88506,13,13,6,0,1,4,1,0,0,40,21,1
24,2,172987,13,13,6,9,1,4,1,0,0,50,21,1
49,2,94638,1,9,5,10,3,4,0,0,0,40,21,1
25,2,289980,1,9,4,13,4,4,1,0,0,35,21,1
57,4,337895,13,13,6,0,1,3,1,0,0,40,21,0
53,2,144361,1,9,6,5,1,4,1,0,0,38,21,1
44,2,128354,9,14,0,4,3,4,0,0,0,40,21,1
41,3,101603,10,11,6,8,1,4,1,0,0,40,21,1
29,2,271466,10,11,4,0,4,4,1,0,0,43,21,1
25,2,32275,14,10,6,4,2,0,0,0,0,40,21,1
47,2,51835,12,15,6,0,2,4,0,0,1902,60,6,0
50,4,251585,13,13,0,4,4,4,1,0,0,55,21,0
47,6,109832,1,9,0,4,4,4,1,0,0,60,21,1
43,2,237993,14,10,6,9,1,4,1,0,0,40,21,0
46,2,216666,8,3,6,5,1,4,1,0,0,40,40,1
