,symboling,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,3,16,1,1,1,1,2,1,88.6,168.8,64.1,48.8,2548,0,5,130,6,3.47,2.68,9.0,111,5000,21,27,13495
1,3,16,1,1,1,1,2,1,88.6,168.8,64.1,48.8,2548,0,5,130,6,3.47,2.68,9.0,111,5000,21,27,16500
2,1,16,1,1,1,0,2,1,94.5,171.2,65.5,52.4,2823,2,4,152,6,2.68,3.47,9.0,154,5000,19,26,16500
3,2,6,1,1,0,3,0,1,99.8,176.6,66.2,54.3,2337,4,5,109,6,3.19,3.4,10.0,102,5500,24,30,13950
4,2,6,1,1,0,3,1,1,99.4,176.6,66.4,54.3,2824,4,0,136,6,3.19,3.4,8.0,115,5500,18,22,17450
5,2,6,1,1,1,3,0,1,99.8,177.3,66.3,53.1,2507,4,0,136,6,3.19,3.4,8.5,110,5500,19,25,15250
6,1,6,1,1,0,3,0,1,105.8,192.7,71.4,55.7,2844,4,0,136,6,3.19,3.4,8.5,110,5500,19,25,17710
7,1,6,1,1,0,4,0,1,105.8,192.7,71.4,55.7,2954,4,0,136,6,3.19,3.4,8.5,110,5500,19,25,18920
8,1,6,1,0,0,3,0,1,105.8,192.7,71.4,55.9,3086,4,0,131,6,3.13,3.4,8.3,140,5500,17,20,23875
10,2,9,1,1,1,3,2,1,101.2,176.8,64.8,54.3,2395,4,5,108,6,3.5,2.8,8.8,101,5800,23,29,16430
11,0,9,1,1,0,3,2,1,101.2,176.8,64.8,54.3,2395,4,5,108,6,3.5,2.8,8.8,101,5800,23,29,16925
12,0,9,1,1,1,3,2,1,101.2,176.8,64.8,54.3,2710,4,4,164,6,3.31,3.19,9.0,121,4250,21,28,20970
13,0,9,1,1,0,3,2,1,101.2,176.8,64.8,54.3,2765,4,4,164,6,3.31,3.19,9.0,121,4250,21,28,21105
14,1,9,1,1,0,3,2,1,103.5,189.0,66.9,55.7,3055,4,4,164,6,3.31,3.19,9.0,121,4250,20,25,24565
15,0,9,1,1,0,3,2,1,103.5,189.0,66.9,55.7,3230,4,4,209,6,3.62,3.39,8.0,182,5400,16,22,30760
16,0,9,1,1,1,3,2,1,103.5,193.8,67.9,53.7,3380,4,4,209,6,3.62,3.39,8.0,182,5400,16,22,41315
17,0,9,1,1,0,3,2,1,110.0,197.0,70.9,56.3,3505,4,4,209,6,3.62,3.39,8.0,182,5400,15,20,36880
18,2,8,1,1,1,0,0,1,88.4,141.1,60.3,53.2,1488,3,1,61,3,2.91,3.03,9.5,48,5100,47,53,5151
19,1,8,1,1,1,0,0,1,94.5,155.9,63.6,52.0,1874,4,5,90,3,3.03,3.11,9.6,70,5400,38,43,6295
20,0,8,1,1,0,3,0,1,94.5,158.8,63.6,52.0,1909,4,5,90,3,3.03,3.11,9.6,70,5400,38,43,6575
21,1,20,1,1,1,0,0,1,93.7,157.3,63.8,50.8,1876,4,5,90,3,2.97,3.23,9.41,68,5500,37,41,5572
22,1,20,1,1,1,0,0,1,93.7,157.3,63.8,50.8,1876,4,5,90,3,2.97,3.23,9.4,68,5500,31,38,6377
23,1,20,1,0,1,0,0,1,93.7,157.3,63.8,50.8,2128,4,5,98,6,3.03,3.39,7.6,102,5500,24,30,7957
24,1,20,1,1,0,0,0,1,93.7,157.3,63.8,50.6,1967,4,5,90,3,2.97,3.23,9.4,68,5500,31,38,6229
25,1,20,1,1,0,3,0,1,93.7,157.3,63.8,50.6,1989,4,5,90,3,2.97,3.23,9.4,68,5500,31,38,6692
26,1,20,1,1,0,3,0,1,93.7,157.3,63.8,50.6,1989,4,5,90,3,2.97,3.23,9.4,68,5500,31,38,7609
28,-1,20,1,1,0,4,0,1,103.3,174.6,64.6,59.8,2535,4,5,122,3,3.34,3.46,8.5,88,5000,24,30,8921
29,3,20,1,0,1,0,0,1,95.9,173.2,66.3,50.2,2811,4,5,156,1,3.6,3.9,7.0,145,5000,19,24,12964
30,2,13,1,1,1,0,0,1,86.6,144.6,63.9,50.8,1713,4,5,92,5,2.91,3.41,9.6,58,4800,49,54,6479
31,2,13,1,1,1,0,0,1,86.6,144.6,63.9,50.8,1819,4,5,92,5,2.91,3.41,9.2,76,6000,31,38,6855
32,1,13,1,1,1,0,0,1,93.7,150.0,64.0,52.6,1837,4,5,79,5,2.91,3.07,10.1,60,5500,38,42,5399
33,1,13,1,1,1,0,0,1,93.7,150.0,64.0,52.6,1940,4,5,92,5,2.91,3.41,9.2,76,6000,30,34,6529
34,1,13,1,1,1,0,0,1,93.7,150.0,64.0,52.6,1956,4,5,92,5,2.91,3.41,9.2,76,6000,30,34,7129
35,0,13,1,1,0,3,0,1,96.5,163.4,64.0,54.5,2010,4,5,92,5,2.91,3.41,9.2,76,6000,30,34,7295
36,0,13,1,1,0,4,0,1,96.5,157.1,63.9,58.3,2024,4,5,92,5,2.92,3.41,9.2,76,6000,30,34,7295
37,0,13,1,1,1,0,0,1,96.5,167.5,65.2,53.3,2236,4,5,110,5,3.15,3.58,9.0,86,5800,27,33,7895
38,0,13,1,1,1,0,0,1,96.5,167.5,65.2,53.3,2289,4,5,110,5,3.15,3.58,9.0,86,5800,27,33,9095
39,0,13,1,1,0,3,0,1,96.5,175.4,65.2,54.1,2304,4,5,110,5,3.15,3.58,9.0,86,5800,27,33,8845
40,0,13,1,1,0,3,0,1,96.5,175.4,62.5,54.1,2372,4,5,110,5,3.15,3.58,9.0,86,5800,27,33,10295
41,0,13,1,1,0,3,0,1,96.5,175.4,65.2,54.1,2465,4,5,110,6,3.15,3.58,9.0,101,5800,24,28,12945
42,1,13,1,1,1,3,0,1,96.5,169.1,66.0,51.0,2293,4,5,110,3,3.15,3.58,9.1,100,5500,25,31,10345
43,0,0,1,1,0,3,2,1,94.3,170.7,61.8,53.5,2337,4,5,111,3,3.31,3.23,8.5,78,4800,24,29,6785
