,WKf,WKr,WRf,WRr,BKf,BKr,WIN
0,0,1,4,3,2,2,-1
1,0,1,2,1,2,2,-1
2,0,1,2,1,0,1,-1
3,0,1,2,1,0,2,-1
4,0,1,2,2,2,1,-1
5,0,1,2,2,2,3,-1
6,0,1,2,2,0,1,-1
7,0,1,2,2,0,2,-1
8,0,1,2,2,0,3,-1
9,0,1,2,3,2,2,-1
10,0,1,2,3,0,2,-1
11,0,1,2,3,0,3,-1
12,0,1,2,3,0,4,-1
13,0,1,2,4,0,3,-1
14,0,1,0,1,2,1,-1
15,0,1,0,1,2,2,-1
16,0,1,0,1,0,2,-1
17,0,1,0,1,3,1,-1
18,0,1,0,1,3,2,-1
19,0,1,0,2,2,1,-1
20,0,1,0,2,2,2,-1
21,0,1,0,2,2,3,-1
22,0,1,0,2,0,1,-1
23,0,1,0,2,0,3,-1
24,0,1,0,2,3,1,-1
25,0,1,0,2,3,2,-1
26,0,1,0,2,3,3,-1
27,0,1,0,3,2,2,-1
28,0,1,0,3,2,3,-1
29,0,1,0,3,0,2,-1
30,0,1,0,3,0,4,-1
31,0,1,0,3,3,2,-1
32,0,1,0,3,3,3,-1
33,0,1,0,3,3,4,-1
34,0,1,0,4,2,3,-1
35,0,1,0,4,0,3,-1
36,0,1,0,4,3,3,-1
37,0,1,0,4,3,4,-1
38,0,1,0,4,3,5,-1
39,0,1,0,5,3,4,-1
40,0,1,3,1,0,1,-1
41,0,1,3,1,0,2,-1
42,0,1,3,1,3,2,-1
43,0,1,3,1,1,1,-1
44,0,1,3,1,1,2,-1
45,0,1,3,2,0,1,-1
46,0,1,3,2,0,2,-1
47,0,1,3,2,0,3,-1
48,0,1,3,2,3,1,-1
49,0,1,3,2,3,3,-1
50,0,1,3,2,1,1,-1
51,0,1,3,2,1,2,-1
52,0,1,3,2,1,3,-1
53,0,1,3,3,0,2,-1
54,0,1,3,3,0,3,-1
55,0,1,3,3,0,4,-1
56,0,1,3,3,3,2,-1
57,0,1,3,3,3,4,-1
58,0,1,3,3,1,2,-1
59,0,1,3,3,1,3,-1
60,0,1,3,3,1,4,-1
61,0,1,3,4,0,3,-1
62,0,1,3,4,0,4,-1
63,0,1,3,4,3,3,-1
64,0,1,3,4,3,5,-1
65,0,1,3,4,1,3,-1
66,0,1,3,4,1,4,-1
67,0,1,3,4,1,5,-1
68,0,1,3,5,0,4,-1
69,0,1,3,5,3,4,-1
70,0,1,3,5,1,4,-1
71,0,1,3,5,1,5,-1
72,0,1,3,5,1,6,-1
73,0,1,3,6,1,5,-1
74,0,1,1,1,3,1,-1
75,0,1,1,1,3,2,-1
76,0,1,1,1,1,2,-1
77,0,1,1,1,5,1,-1
78,0,1,1,1,5,2,-1
79,0,1,1,2,3,1,-1
80,0,1,1,2,3,2,-1
81,0,1,1,2,3,3,-1
82,0,1,1,2,1,1,-1
83,0,1,1,2,1,3,-1
84,0,1,1,2,5,1,-1
85,0,1,1,2,5,2,-1
86,0,1,1,2,5,3,-1
87,0,1,1,3,3,2,-1
88,0,1,1,3,3,3,-1
89,0,1,1,3,3,4,-1
90,0,1,1,3,1,2,-1
91,0,1,1,3,1,4,-1
92,0,1,1,3,5,2,-1
93,0,1,1,3,5,3,-1
94,0,1,1,3,5,4,-1
95,0,1,1,4,3,3,-1
96,0,1,1,4,3,4,-1
97,0,1,1,4,3,5,-1
98,0,1,1,4,1,3,-1
99,0,1,1,4,1,5,-1
100,0,1,1,4,5,3,-1
101,0,1,1,4,5,4,-1
102,0,1,1,4,5,5,-1
103,0,1,1,5,3,4,-1
104,0,1,1,5,3,5,-1
105,0,1,1,5,1,4,-1
106,0,1,1,5,1,6,-1
107,0,1,1,5,5,4,-1
108,0,1,1,5,5,5,-1
109,0,1,1,5,5,6,-1
110,0,1,1,6,3,5,-1
111,0,1,1,6,1,5,-1
112,0,1,1,6,5,5,-1
113,0,1,1,6,5,6,-1
114,0,1,1,6,5,7,-1
115,0,1,1,7,5,6,-1
116,0,1,5,1,1,1,-1
117,0,1,5,1,1,2,-1
118,0,1,5,1,5,2,-1
119,0,1,5,1,7,1,-1
120,0,1,5,1,7,2,-1
121,0,1,5,2,1,1,-1
122,0,1,5,2,1,2,-1
123,0,1,5,2,1,3,-1
124,0,1,5,2,5,1,-1
125,0,1,5,2,5,3,-1
126,0,1,5,2,7,1,-1
127,0,1,5,2,7,2,-1
128,0,1,5,2,7,3,-1
129,0,1,5,3,1,2,-1
130,0,1,5,3,1,3,-1
131,0,1,5,3,1,4,-1
132,0,1,5,3,5,2,-1
133,0,1,5,3,5,4,-1
134,0,1,5,3,7,2,-1
135,0,1,5,3,7,3,-1
136,0,1,5,3,7,4,-1
137,0,1,5,4,1,3,-1
138,0,1,5,4,1,4,-1
139,0,1,5,4,1,5,-1
140,0,1,5,4,5,3,-1
141,0,1,5,4,5,5,-1
142,0,1,5,4,7,3,-1
143,0,1,5,4,7,4,-1
144,0,1,5,4,7,5,-1
145,0,1,5,5,1,4,-1
146,0,1,5,5,1,5,-1
147,0,1,5,5,1,6,-1
148,0,1,5,5,5,4,-1
149,0,1,5,5,5,6,-1
150,0,1,5,5,7,4,-1
151,0,1,5,5,7,5,-1
152,0,1,5,5,7,6,-1
153,0,1,5,6,1,5,-1
154,0,1,5,6,1,6,-1
155,0,1,5,6,5,5,-1
156,0,1,5,6,5,7,-1
157,0,1,5,6,7,5,-1
158,0,1,5,6,7,6,-1
159,0,1,5,6,7,7,-1
160,0,1,5,7,1,6,-1
161,0,1,5,7,5,6,-1
162,0,1,5,7,7,6,-1
163,0,1,5,7,7,7,-1
164,0,1,5,7,7,8,-1
165,0,1,5,8,7,7,-1
166,0,1,7,1,5,1,-1
167,0,1,7,1,5,2,-1
168,0,1,7,1,7,2,-1
169,0,1,7,2,5,1,-1
170,0,1,7,2,5,2,-1
171,0,1,7,2,5,3,-1
172,0,1,7,2,7,1,-1
173,0,1,7,2,7,3,-1
174,0,1,7,3,5,2,-1
175,0,1,7,3,5,3,-1
176,0,1,7,3,5,4,-1
177,0,1,7,3,7,2,-1
178,0,1,7,3,7,4,-1
179,0,1,7,4,5,3,-1
180,0,1,7,4,5,4,-1
181,0,1,7,4,5,5,-1
182,0,1,7,4,7,3,-1
183,0,1,7,4,7,5,-1
184,0,1,7,5,5,4,-1
185,0,1,7,5,5,5,-1
186,0,1,7,5,5,6,-1
187,0,1,7,5,7,4,-1
188,0,1,7,5,7,6,-1
189,0,1,7,6,5,5,-1
190,0,1,7,6,5,6,-1
191,0,1,7,6,5,7,-1
192,0,1,7,6,7,5,-1
193,0,1,7,6,7,7,-1
194,0,1,7,7,5,6,-1
195,0,1,7,7,5,7,-1
196,0,1,7,7,7,6,-1
197,0,1,7,7,7,8,-1
198,0,1,7,8,5,7,-1
199,0,1,7,8,7,7,-1
200,3,1,6,3,6,4,-1
201,3,1,6,3,4,3,-1
202,3,1,6,3,4,4,-1
203,3,1,6,4,6,3,-1
204,3,1,6,4,6,5,-1
205,3,1,6,4,4,3,-1
206,3,1,6,4,4,4,-1
207,3,1,6,4,4,5,-1
208,3,1,6,5,6,4,-1
209,3,1,6,5,6,6,-1
210,3,1,6,5,4,4,-1
211,3,1,6,5,4,5,-1
212,3,1,6,5,4,6,-1
213,3,1,6,6,6,5,-1
214,3,1,6,6,6,7,-1
215,3,1,6,6,4,5,-1
216,3,1,6,6,4,6,-1
217,3,1,6,6,4,7,-1
218,3,1,6,7,6,6,-1
219,3,1,6,7,6,8,-1
220,3,1,6,7,4,6,-1
221,3,1,6,7,4,7,-1
222,3,1,6,7,4,8,-1
223,3,1,6,8,6,7,-1
224,3,1,6,8,4,7,-1
225,3,1,6,8,4,8,-1
226,3,1,4,3,6,3,-1
227,3,1,4,3,6,4,-1
228,3,1,4,3,4,4,-1
229,3,1,4,3,2,3,-1
230,3,1,4,3,2,4,-1
231,3,1,4,4,6,3,-1
232,3,1,4,4,6,4,-1
233,3,1,4,4,6,5,-1
234,3,1,4,4,4,3,-1
235,3,1,4,4,4,5,-1
236,3,1,4,4,2,3,-1
237,3,1,4,4,2,4,-1
238,3,1,4,4,2,5,-1
239,3,1,4,5,6,4,-1
240,3,1,4,5,6,5,-1
241,3,1,4,5,6,6,-1
242,3,1,4,5,4,4,-1
243,3,1,4,5,4,6,-1
244,3,1,4,5,2,4,-1
245,3,1,4,5,2,5,-1
246,3,1,4,5,2,6,-1
247,3,1,4,6,6,5,-1
248,3,1,4,6,6,6,-1
249,3,1,4,6,6,7,-1
250,3,1,4,6,4,5,-1
251,3,1,4,6,4,7,-1
252,3,1,4,6,2,5,-1
253,3,1,4,6,2,6,-1
254,3,1,4,6,2,7,-1
255,3,1,4,7,6,6,-1
256,3,1,4,7,6,7,-1
257,3,1,4,7,6,8,-1
258,3,1,4,7,4,6,-1
259,3,1,4,7,4,8,-1
260,3,1,4,7,2,6,-1
261,3,1,4,7,2,7,-1
262,3,1,4,7,2,8,-1
263,3,1,4,8,6,7,-1
264,3,1,4,8,6,8,-1
265,3,1,4,8,4,7,-1
266,3,1,4,8,2,7,-1
267,3,1,4,8,2,8,-1
268,3,1,2,3,4,3,-1
269,3,1,2,3,4,4,-1
270,3,1,2,3,2,4,-1
271,3,1,2,3,0,2,-1
272,3,1,2,3,0,3,-1
273,3,1,2,3,0,4,-1
274,3,1,2,4,4,3,-1
275,3,1,2,4,4,4,-1
276,3,1,2,4,4,5,-1
277,3,1,2,4,2,3,-1
278,3,1,2,4,2,5,-1
279,3,1,2,4,0,3,-1
280,3,1,2,4,0,4,-1
281,3,1,2,4,0,5,-1
282,3,1,2,5,4,4,-1
283,3,1,2,5,4,5,-1
284,3,1,2,5,4,6,-1
285,3,1,2,5,2,4,-1
286,3,1,2,5,2,6,-1
287,3,1,2,5,0,4,-1
288,3,1,2,5,0,5,-1
289,3,1,2,5,0,6,-1
290,3,1,2,6,4,5,-1
291,3,1,2,6,4,6,-1
292,3,1,2,6,4,7,-1
293,3,1,2,6,2,5,-1
294,3,1,2,6,2,7,-1
295,3,1,2,6,0,5,-1
296,3,1,2,6,0,6,-1
297,3,1,2,6,0,7,-1
298,3,1,2,7,4,6,-1
299,3,1,2,7,4,7,-1
300,3,1,2,7,4,8,-1
301,3,1,2,7,2,6,-1
302,3,1,2,7,2,8,-1
303,3,1,2,7,0,6,-1
304,3,1,2,7,0,7,-1
305,3,1,2,7,0,8,-1
306,3,1,2,8,4,7,-1
307,3,1,2,8,4,8,-1
308,3,1,2,8,2,7,-1
309,3,1,2,8,0,7,-1
310,3,1,2,8,0,8,-1
311,3,1,0,1,0,2,-1
312,3,1,0,1,3,1,-1
313,3,1,0,1,3,2,-1
314,3,1,0,2,2,3,-1
315,3,1,0,2,0,1,-1
316,3,1,0,2,0,3,-1
317,3,1,0,2,3,1,-1
318,3,1,0,2,3,2,-1
319,3,1,0,2,3,3,-1
320,3,1,0,3,2,3,-1
321,3,1,0,3,2,4,-1
322,3,1,0,3,0,2,-1
323,3,1,0,3,0,4,-1
324,3,1,0,3,3,2,-1
325,3,1,0,3,3,3,-1
326,3,1,0,3,3,4,-1
327,3,1,0,4,2,3,-1
328,3,1,0,4,2,4,-1
329,3,1,0,4,2,5,-1
330,3,1,0,4,0,3,-1
331,3,1,0,4,0,5,-1
332,3,1,0,4,3,3,-1
333,3,1,0,4,3,4,-1
334,3,1,0,4,3,5,-1
335,3,1,0,5,2,4,-1
336,3,1,0,5,2,5,-1
337,3,1,0,5,2,6,-1
338,3,1,0,5,0,4,-1
339,3,1,0,5,0,6,-1
340,3,1,0,5,3,4,-1
341,3,1,0,5,3,5,-1
342,3,1,0,5,3,6,-1
343,3,1,0,6,2,5,-1
344,3,1,0,6,2,6,-1
345,3,1,0,6,2,7,-1
346,3,1,0,6,0,5,-1
347,3,1,0,6,0,7,-1
348,3,1,0,6,3,5,-1
349,3,1,0,6,3,6,-1
350,3,1,0,6,3,7,-1
351,3,1,0,7,2,6,-1
352,3,1,0,7,2,7,-1
353,3,1,0,7,2,8,-1
354,3,1,0,7,0,6,-1
355,3,1,0,7,0,8,-1
356,3,1,0,7,3,6,-1
357,3,1,0,7,3,7,-1
358,3,1,0,7,3,8,-1
359,3,1,0,8,2,7,-1
360,3,1,0,8,2,8,-1
361,3,1,0,8,0,7,-1
362,3,1,0,8,3,7,-1
363,3,1,0,8,3,8,-1
364,3,1,3,1,0,1,-1
365,3,1,3,1,0,2,-1
366,3,1,3,1,3,2,-1
367,3,1,3,1,1,1,-1
368,3,1,3,1,1,2,-1
369,3,1,3,2,0,1,-1
370,3,1,3,2,0,2,-1
371,3,1,3,2,0,3,-1
372,3,1,3,2,3,1,-1
373,3,1,3,2,3,3,-1
374,3,1,3,2,1,1,-1
375,3,1,3,2,1,2,-1
376,3,1,3,2,1,3,-1
377,3,1,3,3,0,2,-1
378,3,1,3,3,0,3,-1
379,3,1,3,3,0,4,-1
380,3,1,3,3,3,2,-1
381,3,1,3,3,3,4,-1
382,3,1,3,3,1,2,-1
383,3,1,3,3,1,3,-1
384,3,1,3,3,1,4,-1
385,3,1,3,4,0,3,-1
386,3,1,3,4,0,4,-1
387,3,1,3,4,0,5,-1
388,3,1,3,4,3,3,-1
389,3,1,3,4,3,5,-1
390,3,1,3,4,1,3,-1
391,3,1,3,4,1,4,-1
392,3,1,3,4,1,5,-1
393,3,1,3,5,0,4,-1
394,3,1,3,5,0,5,-1
395,3,1,3,5,0,6,-1
396,3,1,3,5,3,4,-1
397,3,1,3,5,3,6,-1
398,3,1,3,5,1,4,-1
399,3,1,3,5,1,5,-1
