,class,component,sup,cpm,mis,misr,dir,omega
0,1,0,3,0,120,21,6,1
1,1,1,3,0,55,7.5,0,1
2,1,2,3,0,26,1.4,1,1
3,1,3,3,0,11,0.8,4,1
4,1,4,2,0,7,5.5,6,1
5,1,5,2,0,25,5.5,0,1
6,1,6,2,0,13,0.75,1,1
7,1,7,2,0,9,0.95,4,1
8,1,8,2,6000,8,0.4,9,1
9,1,9,2,6000,5.5,0.3,8,1
10,1,10,2,18000,2.75,0.6,8,1
11,1,11,2,20000,6.5,0,9,1
12,1,12,2,22000,2.75,0,8,1
13,1,13,2,23000,3.75,0,9,1
14,1,14,2,2000,1.4,0,8,1
15,1,15,3,4000,18,0,9,1
16,1,16,3,4000,1.9,0,8,1
17,1,17,3,3000,7,0,9,1
18,1,18,3,24000,1.25,0,8,1
19,1,19,3,20000,4,0,8,1
20,1,20,3,18000,3.5,0,9,1
21,1,21,3,6000,2.5,0.25,9,1
22,1,22,3,1000,12,1,9,1
23,1,23,3,2000,4.5,0,9,1
24,1,24,3,2000,4.5,0.35,8,1
25,1,25,3,4000,18,0,7,1
26,1,0,1,0,9,0,6,3
27,1,1,1,0,6,0,3,3
28,1,2,1,0,2.5,0,1,3
29,1,3,1,0,1.3,0,2,3
30,1,4,3,0,65,0,6,3
31,1,5,3,0,22.5,0,3,3
32,1,6,3,0,12,0,1,3
33,1,7,3,0,3.5,0,2,3
34,1,8,4,0,27.5,0,6,3
35,1,9,4,0,9,0,0,3
36,1,10,4,0,5.5,0,1,3
37,1,11,4,0,2.3,0,4,3
38,1,12,2,0,10,0,6,3
39,1,13,2,0,7.5,0,0,3
40,1,14,2,0,2.85,0,1,3
41,1,15,2,0,1.4,0,4,3
42,1,16,3,18000,0.9,0,9,3
43,1,17,3,18000,0.75,0,5,3
44,1,18,4,3000,3.3,0,9,3
45,1,19,4,3000,1.3,0,8,3
46,1,20,4,6000,0.65,0,9,3
47,1,21,4,6000,0.5,0,8,3
48,1,22,4,9000,2.75,0,9,3
49,1,23,4,9000,0.7,0,8,3
50,1,24,4,18000,0.7,0,9,3
51,1,25,3,9000,6,0,9,3
52,1,26,3,9000,1,0,5,3
53,1,27,2,18000,0.6,0,8,3
54,1,28,2,6000,2.5,0,9,3
